교양교과목 편성 현황(2025학년도 1학기 기준),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2025학년도 교육과정(입학자),,,,,,
연번,대학명(부서명),편성신청학과(부서명),교과목코드,교과목명,편성학기,편성신청학과(부서명),학점구조,평가방법,원격강의,SW지정,이수구분,교육과정구분,교양영역구분,핵심역량,"2011~2016학년도
교육과정(입학자)","2017~2020학년도
교육과정(입학자)","2021~2024학년도
교육과정(입학자)",비고
222,예술대학,만화애니메이션학부,2000348,현대미술의이해,2012-1,만화애니메이션학부,3-3-0,,,,교양선택,균형교양,C(외국어예술건강진로),가치탐구역량,핵심교양-예술대,핵심교양,균형교양 제4영역,
223,예술대학,만화애니메이션학부,2003980,기막힌디지털콘텐츠,2017-1,만화애니메이션학부,3-3-0,,,,교양선택,균형교양,C(외국어예술건강진로),가치탐구역량,2016문화및예체능영역,핵심교양,소양교양선택,
224,예술대학,만화애니메이션학부,2004821,코믹스의이해,2019-1,만화애니메이션학부,3-3-0,,,,교양선택,기초교양,기초학문(예술대학),가치탐구역량,2016문화및예체능영역,학문기초교양,기초교양선택(예술대학),
225,예술대학,만화애니메이션학부,2003966,애니메이션의이해,2017-2,만화애니메이션학부,3-3-0,,,,교양선택,기초교양,기초학문(예술대학),가치탐구역량,2016문화및예체능영역,학문기초교양,기초교양선택(예술대학),
226,예술대학,무용학과,2009127,예술트렌드와K-무용콘텐츠,2021-1,무용학과,3-2-2,,,,교양선택,균형교양,C(외국어예술건강진로),자기계발역량,핵심교양-예술대,핵심교양,균형교양 제4영역,
227,예술대학,무용학과,2006837,기초건강생활요가,2021-1,무용학과,2-1-2,,,,교양선택,균형교양,C(외국어예술건강진로),자기계발역량,2016문화및예체능영역,일반교양,소양교양선택,
228,예술대학,무용학과,2009126,마음챙김명상,2021-1,무용학과,3-3-0,,,,교양선택,균형교양,C(외국어예술건강진로),가치탐구역량,2016문화및예체능영역,일반교양,소양교양선택,
229,예술대학,영상학과,2002012,영상과예술,2014-2,영상학과,3-3-0,,,,교양선택,균형교양,C(외국어예술건강진로),자기계발역량,핵심교양-예술대,핵심교양,소양교양선택,
230,예술대학,영상학과,2004012,영화치료,2018-2,영상학과,3-3-0,,,,교양선택,균형교양,C(외국어예술건강진로),자기계발역량,2016문화및예체능영역,핵심교양,소양교양선택,
231,예술대학,영상학과,2004011,사진예술,2019-2,영상학과,3-3-0,,,,교양선택,균형교양,C(외국어예술건강진로),가치탐구역량,2016문화및예체능영역,일반교양,소양교양선택,
232,본부소속,국제학부,2008937,국제정세의이해,2024-2,국제학부,3-3-0,,,,교양선택,균형교양,A(인간사회문학역사),공동체역량,2016문화및예체능영역,핵심교양,균형교양 제6영역,
233,본부소속,국제학부,2008938,심리학개론,2024-2,국제학부,3-3-0,,,,교양선택,균형교양,A(인간사회문학역사),가치탐구역량,2016인문사회과학영역,핵심교양,균형교양 제1영역,
234,본부소속,국제학부,2002903,실무영어회화,2016-1,국제학부,3-3-0,,,,교양선택,균형교양,C(외국어예술건강진로),공동체역량,2016외국어영역,학문기초교양,소양교양선택,
235,본부소속,국제학부,2000858,창의성과미래사회,2013-1,국제학부,3-3-0,,,,교양선택,균형교양,A(인간사회문학역사),자기계발역량,2016취창업및진로영역,학문기초교양,균형교양 제3영역,
236,본부소속,국제학부,2003857,세계유산학,2017-2,국제학부,3-3-0,,,,교양선택,균형교양,A(인간사회문학역사),가치탐구역량,핵심교양-본부소속,핵심교양,균형교양 제4영역,
